id,component,material_category,design_code,design_name,finish,texture,color_family,application
1520,Wardrobe Finish,Laminate,INT-11520,Ivory Wardrobe Finish Style 1520,Natural,Woodgrain,Ivory,Kitchen
1521,Wood Flooring,Wood,INT-11521,Green Wood Flooring Style 1521,High Gloss,Pattern,Green,Dining
1522,Decor Panel,Panel,INT-11522,Yellow Decor Panel Style 1522,Matte,Woodgrain,Yellow,Office
1523,Wall Paint,Paint,INT-11523,Green Wall Paint Style 1523,Natural,Woodgrain,Green,Dining
1524,Kitchen Countertop,Stone,INT-11524,Beige Kitchen Countertop Style 1524,Textured,Stone,Beige,Dining
1525,TV Unit Panel,Panel,INT-11525,Olive TV Unit Panel Style 1525,Matte,Linear,Olive,Living Room
1526,Wood Flooring,Wood,INT-11526,Beige Wood Flooring Style 1526,Gloss,Smooth,Beige,Kitchen
1527,False Ceiling,Gypsum,INT-11527,Mahogany False Ceiling Style 1527,Natural,Fabric,Mahogany,Kitchen
1528,Wall Paint,Paint,INT-11528,Beige Wall Paint Style 1528,Satin,Concrete,Beige,Bathroom
1529,Sofa Fabric,Fabric,INT-11529,Green Sofa Fabric Style 1529,Textured,Fabric,Green,Bathroom
1530,Chair Fabric,Fabric,INT-11530,Ivory Chair Fabric Style 1530,High Gloss,Concrete,Ivory,Living Room
1531,Wallpaper,Wallpaper,INT-11531,Mahogany Wallpaper Style 1531,Satin,Woodgrain,Mahogany,Kitchen
1532,Wardrobe Finish,Laminate,INT-11532,Blue Wardrobe Finish Style 1532,Satin,Woodgrain,Blue,Office
1533,Wardrobe Finish,Laminate,INT-11533,Terracotta Wardrobe Finish Style 1533,Polished,Pattern,Terracotta,Living Room
1534,Wardrobe Finish,Laminate,INT-11534,Green Wardrobe Finish Style 1534,Gloss,Stone,Green,Dining
1535,Floor Tile,Tile,INT-11535,White Floor Tile Style 1535,Gloss,Marble,White,Office
1536,Wardrobe Finish,Laminate,INT-11536,Beige Wardrobe Finish Style 1536,High Gloss,Stone,Beige,Dining
1537,Ceiling Panel,Panel,INT-11537,Grey Ceiling Panel Style 1537,Polished,Fabric,Grey,Bathroom
1538,Chair Fabric,Fabric,INT-11538,Green Chair Fabric Style 1538,High Gloss,Concrete,Green,Kitchen
1539,Wallpaper,Wallpaper,INT-11539,Teak Wallpaper Style 1539,Natural,Woodgrain,Teak,Dining
1540,Wallpaper,Wallpaper,INT-11540,Mustard Wallpaper Style 1540,Textured,Concrete,Mustard,Bedroom
1541,Marble Flooring,Marble,INT-11541,Sand Marble Flooring Style 1541,Textured,Concrete,Sand,Office
1542,Wall Paint,Paint,INT-11542,Olive Wall Paint Style 1542,Textured,Woodgrain,Olive,Lobby
1543,Glass Partition,Glass,INT-11543,Blue Glass Partition Style 1543,Matte,Fabric,Blue,Office
1544,Glass Partition,Glass,INT-11544,Green Glass Partition Style 1544,High Gloss,Fabric,Green,Bathroom
1545,Wall Paint,Paint,INT-11545,Mustard Wall Paint Style 1545,High Gloss,Stone,Mustard,Bathroom
1546,Marble Flooring,Marble,INT-11546,Ivory Marble Flooring Style 1546,High Gloss,Concrete,Ivory,Bathroom
1547,Wardrobe Panel,Panel,INT-11547,Mustard Wardrobe Panel Style 1547,Gloss,Linear,Mustard,Living Room
1548,Kitchen Cabinet,Laminate,INT-11548,Oak Kitchen Cabinet Style 1548,Textured,Linear,Oak,Office
1549,Kitchen Countertop,Stone,INT-11549,Red Kitchen Countertop Style 1549,Matte,Fabric,Red,Bedroom
1550,Marble Flooring,Marble,INT-11550,Green Marble Flooring Style 1550,Gloss,Pattern,Green,Dining
1551,Wallpaper,Wallpaper,INT-11551,White Wallpaper Style 1551,Satin,Marble,White,Bedroom
1552,Ceiling Panel,Panel,INT-11552,Ivory Ceiling Panel Style 1552,High Gloss,Smooth,Ivory,Bathroom
1553,Chair Fabric,Fabric,INT-11553,Cream Chair Fabric Style 1553,Satin,Marble,Cream,Dining
1554,Wall Paint,Paint,INT-11554,Blue Wall Paint Style 1554,Polished,Smooth,Blue,Dining
1555,Floor Tile,Tile,INT-11555,Terracotta Floor Tile Style 1555,Textured,Concrete,Terracotta,Office
1556,Ceiling Panel,Panel,INT-11556,Black Ceiling Panel Style 1556,Matte,Fabric,Black,Bathroom
1557,Floor Tile,Tile,INT-11557,Navy Floor Tile Style 1557,Gloss,Woodgrain,Navy,Kitchen
1558,Wallpaper,Wallpaper,INT-11558,Black Wallpaper Style 1558,Textured,Smooth,Black,Living Room
1559,Wallpaper,Wallpaper,INT-11559,Ivory Wallpaper Style 1559,Textured,Concrete,Ivory,Lobby
1560,Glass Partition,Glass,INT-11560,Blue Glass Partition Style 1560,Matte,Linear,Blue,Lobby
1561,Wardrobe Finish,Laminate,INT-11561,Beige Wardrobe Finish Style 1561,Gloss,Pattern,Beige,Bedroom
1562,TV Unit Panel,Panel,INT-11562,Black TV Unit Panel Style 1562,Polished,Linear,Black,Kitchen
1563,Chair Fabric,Fabric,INT-11563,Charcoal Chair Fabric Style 1563,Natural,Woodgrain,Charcoal,Office
1564,Table Surface,Wood,INT-11564,Navy Table Surface Style 1564,High Gloss,Marble,Navy,Dining
1565,Wall Panel,Panel,INT-11565,Mustard Wall Panel Style 1565,Polished,Linear,Mustard,Bathroom
1566,Wardrobe Finish,Laminate,INT-11566,Green Wardrobe Finish Style 1566,Textured,Smooth,Green,Living Room
1567,Wallpaper,Wallpaper,INT-11567,Green Wallpaper Style 1567,Natural,Fabric,Green,Bathroom
1568,False Ceiling,Gypsum,INT-11568,Olive False Ceiling Style 1568,High Gloss,Concrete,Olive,Kitchen
1569,Kitchen Cabinet,Laminate,INT-11569,Black Kitchen Cabinet Style 1569,Natural,Concrete,Black,Office
1570,Chair Fabric,Fabric,INT-11570,Ivory Chair Fabric Style 1570,High Gloss,Concrete,Ivory,Living Room
1571,Wall Panel,Panel,INT-11571,Charcoal Wall Panel Style 1571,High Gloss,Smooth,Charcoal,Living Room
1572,Table Surface,Wood,INT-11572,White Table Surface Style 1572,Textured,Linear,White,Lobby
1573,Wall Paint,Paint,INT-11573,Mahogany Wall Paint Style 1573,High Gloss,Fabric,Mahogany,Bathroom
1574,TV Unit Panel,Panel,INT-11574,Grey TV Unit Panel Style 1574,High Gloss,Fabric,Grey,Living Room
1575,Wall Panel,Panel,INT-11575,Beige Wall Panel Style 1575,Natural,Fabric,Beige,Bedroom
1576,Wallpaper,Wallpaper,INT-11576,Olive Wallpaper Style 1576,Matte,Woodgrain,Olive,Living Room
1577,Wall Paint,Paint,INT-11577,Oak Wall Paint Style 1577,High Gloss,Fabric,Oak,Bedroom
1578,Marble Flooring,Marble,INT-11578,Navy Marble Flooring Style 1578,Natural,Fabric,Navy,Bathroom
1579,Floor Tile,Tile,INT-11579,White Floor Tile Style 1579,Matte,Pattern,White,Bathroom
1580,Ceiling Panel,Panel,INT-11580,Olive Ceiling Panel Style 1580,Textured,Linear,Olive,Bathroom
1581,Glass Partition,Glass,INT-11581,Ivory Glass Partition Style 1581,Textured,Pattern,Ivory,Bathroom
1582,Wardrobe Panel,Panel,INT-11582,White Wardrobe Panel Style 1582,Gloss,Concrete,White,Bedroom
1583,Floor Tile,Tile,INT-11583,Charcoal Floor Tile Style 1583,Textured,Smooth,Charcoal,Dining
1584,Wall Panel,Panel,INT-11584,Cream Wall Panel Style 1584,Matte,Stone,Cream,Bedroom
1585,Sofa Fabric,Fabric,INT-11585,White Sofa Fabric Style 1585,Textured,Concrete,White,Kitchen
1586,Floor Tile,Tile,INT-11586,Grey Floor Tile Style 1586,Matte,Woodgrain,Grey,Kitchen
1587,Ceiling Panel,Panel,INT-11587,Black Ceiling Panel Style 1587,Natural,Fabric,Black,Office
1588,Kitchen Cabinet,Laminate,INT-11588,Cream Kitchen Cabinet Style 1588,Satin,Concrete,Cream,Office
1589,Wood Flooring,Wood,INT-11589,Mustard Wood Flooring Style 1589,High Gloss,Stone,Mustard,Kitchen
1590,False Ceiling,Gypsum,INT-11590,Oak False Ceiling Style 1590,Textured,Linear,Oak,Lobby
1591,Chair Fabric,Fabric,INT-11591,Oak Chair Fabric Style 1591,High Gloss,Woodgrain,Oak,Kitchen
1592,Wallpaper,Wallpaper,INT-11592,Oak Wallpaper Style 1592,Gloss,Smooth,Oak,Dining
1593,Wall Paint,Paint,INT-11593,Walnut Wall Paint Style 1593,Natural,Linear,Walnut,Living Room
1594,Wall Paint,Paint,INT-11594,Grey Wall Paint Style 1594,High Gloss,Concrete,Grey,Lobby
1595,Kitchen Cabinet,Laminate,INT-11595,Black Kitchen Cabinet Style 1595,High Gloss,Pattern,Black,Bedroom
1596,Chair Fabric,Fabric,INT-11596,Terracotta Chair Fabric Style 1596,Polished,Smooth,Terracotta,Lobby
1597,Floor Tile,Tile,INT-11597,Ivory Floor Tile Style 1597,High Gloss,Smooth,Ivory,Office
1598,Glass Partition,Glass,INT-11598,Red Glass Partition Style 1598,High Gloss,Fabric,Red,Kitchen
1599,Wallpaper,Wallpaper,INT-11599,Yellow Wallpaper Style 1599,Natural,Woodgrain,Yellow,Dining
1600,Glass Partition,Glass,INT-11600,Walnut Glass Partition Style 1600,Gloss,Pattern,Walnut,Office
1601,Wardrobe Finish,Laminate,INT-11601,Grey Wardrobe Finish Style 1601,Gloss,Linear,Grey,Lobby
1602,Wall Paint,Paint,INT-11602,Oak Wall Paint Style 1602,Matte,Woodgrain,Oak,Bathroom
1603,Wallpaper,Wallpaper,INT-11603,White Wallpaper Style 1603,Natural,Concrete,White,Bathroom
1604,False Ceiling,Gypsum,INT-11604,Black False Ceiling Style 1604,High Gloss,Smooth,Black,Dining
1605,Wall Paint,Paint,INT-11605,Red Wall Paint Style 1605,Satin,Woodgrain,Red,Living Room
1606,Sofa Fabric,Fabric,INT-11606,White Sofa Fabric Style 1606,Gloss,Marble,White,Lobby
1607,Decor Panel,Panel,INT-11607,Walnut Decor Panel Style 1607,Polished,Smooth,Walnut,Kitchen
1608,Wardrobe Finish,Laminate,INT-11608,Red Wardrobe Finish Style 1608,Textured,Linear,Red,Bedroom
1609,Wood Flooring,Wood,INT-11609,Grey Wood Flooring Style 1609,Gloss,Fabric,Grey,Bathroom
1610,Wardrobe Finish,Laminate,INT-11610,Teak Wardrobe Finish Style 1610,Gloss,Marble,Teak,Kitchen
1611,Floor Tile,Tile,INT-11611,Sand Floor Tile Style 1611,Textured,Linear,Sand,Dining
1612,Wall Paint,Paint,INT-11612,Black Wall Paint Style 1612,Polished,Pattern,Black,Bedroom
1613,Wardrobe Finish,Laminate,INT-11613,Light Oak Wardrobe Finish Style 1613,Matte,Smooth,Light Oak,Kitchen
1614,Table Surface,Wood,INT-11614,Navy Table Surface Style 1614,Gloss,Stone,Navy,Office
1615,Wardrobe Finish,Laminate,INT-11615,Mustard Wardrobe Finish Style 1615,Natural,Linear,Mustard,Kitchen
1616,Sofa Fabric,Fabric,INT-11616,Olive Sofa Fabric Style 1616,Natural,Woodgrain,Olive,Bathroom
1617,Kitchen Countertop,Stone,INT-11617,Oak Kitchen Countertop Style 1617,Polished,Woodgrain,Oak,Office
1618,TV Unit Panel,Panel,INT-11618,Blue TV Unit Panel Style 1618,Gloss,Marble,Blue,Bedroom
1619,Wardrobe Finish,Laminate,INT-11619,White Wardrobe Finish Style 1619,High Gloss,Pattern,White,Dining
1620,TV Unit Panel,Panel,INT-11620,Charcoal TV Unit Panel Style 1620,Matte,Smooth,Charcoal,Bathroom
1621,Wall Paint,Paint,INT-11621,Walnut Wall Paint Style 1621,Gloss,Stone,Walnut,Office
1622,Table Surface,Wood,INT-11622,Mahogany Table Surface Style 1622,High Gloss,Pattern,Mahogany,Kitchen
1623,Marble Flooring,Marble,INT-11623,Mustard Marble Flooring Style 1623,High Gloss,Smooth,Mustard,Kitchen
1624,Glass Partition,Glass,INT-11624,Green Glass Partition Style 1624,Satin,Concrete,Green,Kitchen
1625,Wardrobe Panel,Panel,INT-11625,Blue Wardrobe Panel Style 1625,High Gloss,Pattern,Blue,Living Room
1626,Chair Fabric,Fabric,INT-11626,Red Chair Fabric Style 1626,High Gloss,Stone,Red,Dining
1627,Kitchen Cabinet,Laminate,INT-11627,White Kitchen Cabinet Style 1627,High Gloss,Concrete,White,Living Room
1628,TV Unit Panel,Panel,INT-11628,Red TV Unit Panel Style 1628,Matte,Concrete,Red,Living Room
1629,Floor Tile,Tile,INT-11629,Cream Floor Tile Style 1629,High Gloss,Smooth,Cream,Office
1630,Wood Flooring,Wood,INT-11630,Mustard Wood Flooring Style 1630,Gloss,Concrete,Mustard,Dining
1631,Floor Tile,Tile,INT-11631,Charcoal Floor Tile Style 1631,Textured,Concrete,Charcoal,Bedroom
1632,Chair Fabric,Fabric,INT-11632,Black Chair Fabric Style 1632,Matte,Fabric,Black,Bedroom
1633,Decor Panel,Panel,INT-11633,Yellow Decor Panel Style 1633,Natural,Concrete,Yellow,Dining
1634,Wardrobe Finish,Laminate,INT-11634,Cream Wardrobe Finish Style 1634,Textured,Linear,Cream,Living Room
1635,Ceiling Panel,Panel,INT-11635,White Ceiling Panel Style 1635,Polished,Pattern,White,Living Room
1636,TV Unit Panel,Panel,INT-11636,Ivory TV Unit Panel Style 1636,Polished,Concrete,Ivory,Living Room
1637,Wardrobe Finish,Laminate,INT-11637,Mahogany Wardrobe Finish Style 1637,Textured,Linear,Mahogany,Bathroom
1638,Table Surface,Wood,INT-11638,Blue Table Surface Style 1638,High Gloss,Fabric,Blue,Kitchen
1639,Wardrobe Finish,Laminate,INT-11639,Mustard Wardrobe Finish Style 1639,Gloss,Smooth,Mustard,Kitchen
1640,Wardrobe Panel,Panel,INT-11640,Oak Wardrobe Panel Style 1640,Natural,Smooth,Oak,Bedroom
1641,False Ceiling,Gypsum,INT-11641,Oak False Ceiling Style 1641,High Gloss,Stone,Oak,Kitchen
1642,Glass Partition,Glass,INT-11642,Mahogany Glass Partition Style 1642,Gloss,Pattern,Mahogany,Bedroom
1643,Glass Partition,Glass,INT-11643,Light Oak Glass Partition Style 1643,Satin,Woodgrain,Light Oak,Office
1644,Chair Fabric,Fabric,INT-11644,Navy Chair Fabric Style 1644,Satin,Woodgrain,Navy,Living Room
1645,Wood Flooring,Wood,INT-11645,Yellow Wood Flooring Style 1645,Gloss,Pattern,Yellow,Living Room
1646,Chair Fabric,Fabric,INT-11646,White Chair Fabric Style 1646,Matte,Marble,White,Dining
1647,Wardrobe Panel,Panel,INT-11647,Walnut Wardrobe Panel Style 1647,High Gloss,Stone,Walnut,Office
1648,Glass Partition,Glass,INT-11648,Cream Glass Partition Style 1648,Satin,Stone,Cream,Lobby
1649,Decor Panel,Panel,INT-11649,Charcoal Decor Panel Style 1649,Textured,Pattern,Charcoal,Bedroom
1650,Decor Panel,Panel,INT-11650,Ivory Decor Panel Style 1650,High Gloss,Smooth,Ivory,Kitchen
1651,False Ceiling,Gypsum,INT-11651,Yellow False Ceiling Style 1651,Matte,Smooth,Yellow,Kitchen
1652,Sofa Fabric,Fabric,INT-11652,Oak Sofa Fabric Style 1652,Matte,Marble,Oak,Living Room
1653,Kitchen Cabinet,Laminate,INT-11653,Cream Kitchen Cabinet Style 1653,Matte,Smooth,Cream,Bathroom
1654,Decor Panel,Panel,INT-11654,Sand Decor Panel Style 1654,Satin,Pattern,Sand,Kitchen
1655,Wood Flooring,Wood,INT-11655,Olive Wood Flooring Style 1655,Gloss,Marble,Olive,Bedroom
1656,Sofa Fabric,Fabric,INT-11656,Ivory Sofa Fabric Style 1656,High Gloss,Stone,Ivory,Dining
1657,Wardrobe Panel,Panel,INT-11657,Black Wardrobe Panel Style 1657,Gloss,Marble,Black,Bathroom
1658,Table Surface,Wood,INT-11658,Mustard Table Surface Style 1658,Natural,Woodgrain,Mustard,Living Room
1659,Wardrobe Finish,Laminate,INT-11659,Walnut Wardrobe Finish Style 1659,Polished,Woodgrain,Walnut,Dining
1660,Table Surface,Wood,INT-11660,Navy Table Surface Style 1660,Gloss,Smooth,Navy,Living Room
1661,Wood Flooring,Wood,INT-11661,Charcoal Wood Flooring Style 1661,Gloss,Woodgrain,Charcoal,Bedroom
1662,Floor Tile,Tile,INT-11662,Green Floor Tile Style 1662,Matte,Smooth,Green,Living Room
1663,Table Surface,Wood,INT-11663,Teak Table Surface Style 1663,High Gloss,Pattern,Teak,Bedroom
1664,Wall Paint,Paint,INT-11664,Sand Wall Paint Style 1664,Textured,Woodgrain,Sand,Kitchen
1665,Kitchen Countertop,Stone,INT-11665,Terracotta Kitchen Countertop Style 1665,Gloss,Fabric,Terracotta,Office
1666,Floor Tile,Tile,INT-11666,Mahogany Floor Tile Style 1666,Matte,Linear,Mahogany,Office
1667,Chair Fabric,Fabric,INT-11667,Cream Chair Fabric Style 1667,Natural,Concrete,Cream,Bedroom
1668,Decor Panel,Panel,INT-11668,Walnut Decor Panel Style 1668,Gloss,Smooth,Walnut,Bathroom
1669,TV Unit Panel,Panel,INT-11669,Terracotta TV Unit Panel Style 1669,Satin,Fabric,Terracotta,Lobby
1670,Ceiling Panel,Panel,INT-11670,Red Ceiling Panel Style 1670,Natural,Concrete,Red,Office
1671,Table Surface,Wood,INT-11671,Blue Table Surface Style 1671,Gloss,Smooth,Blue,Kitchen
1672,Kitchen Cabinet,Laminate,INT-11672,Sand Kitchen Cabinet Style 1672,Textured,Marble,Sand,Dining
1673,Table Surface,Wood,INT-11673,Walnut Table Surface Style 1673,High Gloss,Woodgrain,Walnut,Kitchen
1674,Wardrobe Finish,Laminate,INT-11674,Green Wardrobe Finish Style 1674,Polished,Woodgrain,Green,Living Room
1675,Wall Paint,Paint,INT-11675,Yellow Wall Paint Style 1675,Polished,Stone,Yellow,Office
1676,Kitchen Countertop,Stone,INT-11676,Oak Kitchen Countertop Style 1676,High Gloss,Stone,Oak,Dining
1677,Wood Flooring,Wood,INT-11677,Blue Wood Flooring Style 1677,Natural,Woodgrain,Blue,Bathroom
1678,Sofa Fabric,Fabric,INT-11678,Sand Sofa Fabric Style 1678,Matte,Linear,Sand,Dining
1679,Kitchen Countertop,Stone,INT-11679,Teak Kitchen Countertop Style 1679,Gloss,Marble,Teak,Bedroom
1680,Wardrobe Panel,Panel,INT-11680,Charcoal Wardrobe Panel Style 1680,Polished,Fabric,Charcoal,Lobby
1681,Wall Paint,Paint,INT-11681,Oak Wall Paint Style 1681,Textured,Concrete,Oak,Office
1682,Kitchen Cabinet,Laminate,INT-11682,Ivory Kitchen Cabinet Style 1682,Textured,Stone,Ivory,Dining
1683,Floor Tile,Tile,INT-11683,Cream Floor Tile Style 1683,Polished,Linear,Cream,Kitchen
1684,Decor Panel,Panel,INT-11684,Blue Decor Panel Style 1684,Gloss,Pattern,Blue,Lobby
1685,False Ceiling,Gypsum,INT-11685,Sand False Ceiling Style 1685,Polished,Linear,Sand,Living Room
1686,TV Unit Panel,Panel,INT-11686,Oak TV Unit Panel Style 1686,Polished,Stone,Oak,Bedroom
1687,False Ceiling,Gypsum,INT-11687,Charcoal False Ceiling Style 1687,Matte,Pattern,Charcoal,Living Room
1688,Wall Panel,Panel,INT-11688,Green Wall Panel Style 1688,Gloss,Concrete,Green,Dining
1689,Chair Fabric,Fabric,INT-11689,Mustard Chair Fabric Style 1689,Satin,Concrete,Mustard,Bathroom
1690,Chair Fabric,Fabric,INT-11690,Blue Chair Fabric Style 1690,Textured,Smooth,Blue,Dining
1691,Kitchen Countertop,Stone,INT-11691,Oak Kitchen Countertop Style 1691,Natural,Linear,Oak,Office
1692,Floor Tile,Tile,INT-11692,Green Floor Tile Style 1692,Natural,Marble,Green,Office
1693,TV Unit Panel,Panel,INT-11693,Mahogany TV Unit Panel Style 1693,Natural,Woodgrain,Mahogany,Dining
1694,Ceiling Panel,Panel,INT-11694,White Ceiling Panel Style 1694,Matte,Concrete,White,Office
1695,Kitchen Cabinet,Laminate,INT-11695,Mustard Kitchen Cabinet Style 1695,Matte,Smooth,Mustard,Bathroom
1696,Wall Panel,Panel,INT-11696,Mustard Wall Panel Style 1696,Matte,Smooth,Mustard,Bedroom
1697,Sofa Fabric,Fabric,INT-11697,Black Sofa Fabric Style 1697,Satin,Woodgrain,Black,Office
1698,Chair Fabric,Fabric,INT-11698,Light Oak Chair Fabric Style 1698,Matte,Linear,Light Oak,Bedroom
1699,Chair Fabric,Fabric,INT-11699,Beige Chair Fabric Style 1699,Polished,Stone,Beige,Bedroom
1700,Marble Flooring,Marble,INT-11700,Light Oak Marble Flooring Style 1700,Gloss,Concrete,Light Oak,Bedroom
1701,Wardrobe Panel,Panel,INT-11701,Sand Wardrobe Panel Style 1701,Gloss,Smooth,Sand,Lobby
1702,Glass Partition,Glass,INT-11702,Ivory Glass Partition Style 1702,Matte,Concrete,Ivory,Office
1703,Kitchen Cabinet,Laminate,INT-11703,Blue Kitchen Cabinet Style 1703,High Gloss,Woodgrain,Blue,Dining
1704,Chair Fabric,Fabric,INT-11704,Yellow Chair Fabric Style 1704,Gloss,Smooth,Yellow,Bedroom
1705,Sofa Fabric,Fabric,INT-11705,Olive Sofa Fabric Style 1705,Textured,Pattern,Olive,Kitchen
1706,Wardrobe Finish,Laminate,INT-11706,Olive Wardrobe Finish Style 1706,Polished,Concrete,Olive,Living Room
1707,Kitchen Countertop,Stone,INT-11707,Mustard Kitchen Countertop Style 1707,Natural,Fabric,Mustard,Bathroom
1708,Wall Panel,Panel,INT-11708,Sand Wall Panel Style 1708,Gloss,Woodgrain,Sand,Dining
1709,Chair Fabric,Fabric,INT-11709,Charcoal Chair Fabric Style 1709,Polished,Stone,Charcoal,Bedroom
1710,Marble Flooring,Marble,INT-11710,Green Marble Flooring Style 1710,Textured,Smooth,Green,Dining
1711,Floor Tile,Tile,INT-11711,Oak Floor Tile Style 1711,Gloss,Fabric,Oak,Dining
1712,False Ceiling,Gypsum,INT-11712,Olive False Ceiling Style 1712,Gloss,Woodgrain,Olive,Lobby
1713,Sofa Fabric,Fabric,INT-11713,Grey Sofa Fabric Style 1713,Natural,Stone,Grey,Dining
1714,Wood Flooring,Wood,INT-11714,Ivory Wood Flooring Style 1714,Polished,Marble,Ivory,Bedroom
1715,Wallpaper,Wallpaper,INT-11715,Teak Wallpaper Style 1715,Polished,Fabric,Teak,Bedroom
1716,Chair Fabric,Fabric,INT-11716,Teak Chair Fabric Style 1716,Polished,Linear,Teak,Lobby
1717,Wood Flooring,Wood,INT-11717,Cream Wood Flooring Style 1717,Satin,Pattern,Cream,Bathroom
1718,Wallpaper,Wallpaper,INT-11718,Navy Wallpaper Style 1718,Natural,Marble,Navy,Kitchen
1719,Table Surface,Wood,INT-11719,Beige Table Surface Style 1719,Matte,Fabric,Beige,Dining
1720,False Ceiling,Gypsum,INT-11720,Terracotta False Ceiling Style 1720,Natural,Stone,Terracotta,Lobby
1721,Wall Paint,Paint,INT-11721,Grey Wall Paint Style 1721,Gloss,Smooth,Grey,Kitchen
1722,Chair Fabric,Fabric,INT-11722,Sand Chair Fabric Style 1722,Gloss,Pattern,Sand,Bathroom
1723,Glass Partition,Glass,INT-11723,Light Oak Glass Partition Style 1723,Gloss,Fabric,Light Oak,Kitchen
1724,Decor Panel,Panel,INT-11724,Light Oak Decor Panel Style 1724,Gloss,Concrete,Light Oak,Office
1725,Kitchen Countertop,Stone,INT-11725,Terracotta Kitchen Countertop Style 1725,Satin,Woodgrain,Terracotta,Office
1726,Wall Paint,Paint,INT-11726,Green Wall Paint Style 1726,Textured,Concrete,Green,Kitchen
1727,Kitchen Cabinet,Laminate,INT-11727,Mahogany Kitchen Cabinet Style 1727,Satin,Linear,Mahogany,Bathroom
1728,Kitchen Countertop,Stone,INT-11728,White Kitchen Countertop Style 1728,Polished,Fabric,White,Lobby
1729,Kitchen Countertop,Stone,INT-11729,Mustard Kitchen Countertop Style 1729,Matte,Linear,Mustard,Kitchen
1730,Glass Partition,Glass,INT-11730,Grey Glass Partition Style 1730,Textured,Pattern,Grey,Lobby
1731,Sofa Fabric,Fabric,INT-11731,Beige Sofa Fabric Style 1731,Matte,Woodgrain,Beige,Bathroom
1732,Glass Partition,Glass,INT-11732,Oak Glass Partition Style 1732,Textured,Marble,Oak,Kitchen
1733,Wardrobe Panel,Panel,INT-11733,Yellow Wardrobe Panel Style 1733,High Gloss,Marble,Yellow,Lobby
1734,TV Unit Panel,Panel,INT-11734,Teak TV Unit Panel Style 1734,Satin,Smooth,Teak,Lobby
1735,Wall Panel,Panel,INT-11735,Navy Wall Panel Style 1735,Gloss,Pattern,Navy,Bedroom
1736,Wallpaper,Wallpaper,INT-11736,Black Wallpaper Style 1736,Gloss,Fabric,Black,Dining
1737,TV Unit Panel,Panel,INT-11737,Oak TV Unit Panel Style 1737,Natural,Linear,Oak,Office
1738,Wall Paint,Paint,INT-11738,Walnut Wall Paint Style 1738,Textured,Fabric,Walnut,Lobby
1739,Chair Fabric,Fabric,INT-11739,Blue Chair Fabric Style 1739,High Gloss,Pattern,Blue,Kitchen
1740,Ceiling Panel,Panel,INT-11740,Mahogany Ceiling Panel Style 1740,Textured,Concrete,Mahogany,Dining
1741,Kitchen Cabinet,Laminate,INT-11741,Olive Kitchen Cabinet Style 1741,Textured,Woodgrain,Olive,Living Room
1742,Wood Flooring,Wood,INT-11742,Oak Wood Flooring Style 1742,Matte,Woodgrain,Oak,Lobby
1743,False Ceiling,Gypsum,INT-11743,Terracotta False Ceiling Style 1743,Matte,Pattern,Terracotta,Office
1744,Sofa Fabric,Fabric,INT-11744,Navy Sofa Fabric Style 1744,Gloss,Marble,Navy,Dining
1745,Marble Flooring,Marble,INT-11745,Sand Marble Flooring Style 1745,Gloss,Stone,Sand,Office
1746,Table Surface,Wood,INT-11746,Walnut Table Surface Style 1746,High Gloss,Marble,Walnut,Living Room
1747,Floor Tile,Tile,INT-11747,Oak Floor Tile Style 1747,Textured,Linear,Oak,Dining
1748,Kitchen Cabinet,Laminate,INT-11748,Green Kitchen Cabinet Style 1748,Satin,Smooth,Green,Kitchen
1749,Marble Flooring,Marble,INT-11749,Mahogany Marble Flooring Style 1749,High Gloss,Stone,Mahogany,Dining
1750,Wall Paint,Paint,INT-11750,Yellow Wall Paint Style 1750,Matte,Concrete,Yellow,Dining
1751,Wall Panel,Panel,INT-11751,Yellow Wall Panel Style 1751,Matte,Fabric,Yellow,Office
1752,Decor Panel,Panel,INT-11752,Mustard Decor Panel Style 1752,Satin,Linear,Mustard,Dining
1753,Wall Paint,Paint,INT-11753,Grey Wall Paint Style 1753,Satin,Pattern,Grey,Bathroom
1754,Floor Tile,Tile,INT-11754,Ivory Floor Tile Style 1754,Natural,Smooth,Ivory,Dining
1755,Decor Panel,Panel,INT-11755,Olive Decor Panel Style 1755,Polished,Smooth,Olive,Bedroom
1756,TV Unit Panel,Panel,INT-11756,Cream TV Unit Panel Style 1756,High Gloss,Marble,Cream,Office
1757,Wallpaper,Wallpaper,INT-11757,Mahogany Wallpaper Style 1757,Textured,Linear,Mahogany,Kitchen
1758,Kitchen Cabinet,Laminate,INT-11758,Mahogany Kitchen Cabinet Style 1758,Matte,Marble,Mahogany,Office
1759,Wall Panel,Panel,INT-11759,Cream Wall Panel Style 1759,High Gloss,Woodgrain,Cream,Bathroom
1760,Kitchen Cabinet,Laminate,INT-11760,Olive Kitchen Cabinet Style 1760,Polished,Woodgrain,Olive,Lobby
1761,Wardrobe Panel,Panel,INT-11761,Charcoal Wardrobe Panel Style 1761,Natural,Linear,Charcoal,Lobby
1762,Wardrobe Panel,Panel,INT-11762,White Wardrobe Panel Style 1762,Satin,Stone,White,Dining
1763,Kitchen Countertop,Stone,INT-11763,Navy Kitchen Countertop Style 1763,Matte,Woodgrain,Navy,Kitchen
1764,Table Surface,Wood,INT-11764,Terracotta Table Surface Style 1764,High Gloss,Marble,Terracotta,Dining
